Strategy,Model,Train_Time(s),Val_Predict_Time(s),Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Val_PR_AUC,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC
Original,Logistic Regression,0.6597673892974854,0.02949810028076172,0.5238095238095238,0.04059040590405904,0.07534246575342465,0.7530858750872043,0.25930307715601875,0.5833333333333334,0.03874538745387454,0.0726643598615917,0.7296135616154923,0.23766875478427094
Original,Decision Tree,3.6401939392089844,0.025824308395385742,0.2504258943781942,0.27121771217712176,0.2604074402125775,0.5913687224778664,0.13007572099131443,0.24496644295302014,0.2693726937269373,0.2565905096660808,0.5948666026907947,0.12935492829460754
Original,Random Forest,4.617859363555908,10.247949361801147,0.6440677966101694,0.07011070110701106,0.1264559068219634,0.8169029462529271,0.34321359289036224,0.6307692307692307,0.07564575645756458,0.13509060955518945,0.817720650116718,0.3489492287869573
Original,XGBoost,1.5503320693969727,0.03266167640686035,0.5568181818181818,0.18081180811808117,0.27298050139275765,0.8268931196967224,0.3980487770251144,0.5568181818181818,0.18081180811808117,0.27298050139275765,0.8252083023926214,0.3807418471403685
Weighted,Logistic Regression,1.0119099617004395,0.03284859657287598,0.1803921568627451,0.6789667896678967,0.28505034856700234,0.7717706146612473,0.2801205148188617,0.16769890424011433,0.6494464944649446,0.266565694812571,0.7554452479509315,0.26500895063954993
Weighted,Decision Tree,2.7740962505340576,0.023163318634033203,0.24574669187145556,0.23985239852398524,0.24276377217553688,0.5792815187742452,0.12422286434845917,0.255859375,0.24169741697416974,0.24857685009487665,0.5862479483927965,0.1274445656987157
Weighted,Random Forest,3.926192045211792,0.18390369415283203,0.5291479820627802,0.2177121771217712,0.3084967320261438,0.8117901852508979,0.36612396562096683,0.4976303317535545,0.1937269372693727,0.2788844621513944,0.8099992764633529,0.3314016467150793
Weighted,XGBoost,1.4967191219329834,0.03699445724487305,0.37709923664122136,0.45571955719557194,0.4126984126984127,0.8102225702284547,0.3910123906540167,0.35340729001584786,0.4114391143911439,0.38022165387894286,0.8030209559061534,0.34377570745810737
SMOTE,Logistic Regression,4.514781713485718,0.027164459228515625,0.18380526577247888,0.6826568265682657,0.2896281800391389,0.775509847821685,0.2848809720171064,0.17537860283341475,0.6623616236162362,0.27732715334105834,0.755650250000952,0.26583900850841724
SMOTE,Decision Tree,5.969777584075928,0.03158974647521973,0.210239651416122,0.35608856088560886,0.26438356164383564,0.6100347357335607,0.1297813227974152,0.2113163972286374,0.3376383763837638,0.2599431818181818,0.6092259490706362,0.12867935385777649
SMOTE,Random Forest,9.05352783203125,0.21986031532287598,0.3953488372093023,0.34501845018450183,0.36847290640394087,0.8100070588698317,0.35635516790119415,0.39285714285714285,0.3247232472324723,0.35555555555555557,0.8110633196115241,0.32812587412106536
SMOTE,XGBoost,2.379080295562744,0.0278780460357666,0.4601366742596811,0.3726937269372694,0.41182466870540263,0.8115108774517987,0.395499892423383,0.42298850574712643,0.33948339483394835,0.3766632548618219,0.8169520510994583,0.3727105064026924
