Feature,Importance,Model,Strategy
missing_count,0.02637321384815757,Decision Tree,Original
missing_ratio,0.02397948181359911,Decision Tree,Original
longest_missing_streak,0.013305886344554253,Decision Tree,Original
missing_streak_count,0.022492744861662965,Decision Tree,Original
max_missing_gap_days,0.01925762991567749,Decision Tree,Original
mean,0.015528031262038357,Decision Tree,Original
median,0.007933641674719005,Decision Tree,Original
std_dev,0.017969559810734153,Decision Tree,Original
variance,0.014842354495598379,Decision Tree,Original
cv,0.024994423162110778,Decision Tree,Original
min,0.019428775936195204,Decision Tree,Original
max,0.012284838382693572,Decision Tree,Original
range,0.013992411836370473,Decision Tree,Original
zero_count,0.013330805781059392,Decision Tree,Original
zero_ratio,0.021277157995479516,Decision Tree,Original
mean_abs_daily_change,0.02210519264364364,Decision Tree,Original
max_abs_daily_change,0.025845334247912577,Decision Tree,Original
monthly_mean_1,0.020913727334928845,Decision Tree,Original
monthly_std_1,0.025612673600888855,Decision Tree,Original
monthly_mean_2,0.018871586798273457,Decision Tree,Original
monthly_std_2,0.028955099885256325,Decision Tree,Original
monthly_mean_3,0.021553977224129564,Decision Tree,Original
monthly_std_3,0.053848024215818815,Decision Tree,Original
monthly_mean_4,0.018289449261976565,Decision Tree,Original
monthly_std_4,0.09071545311610592,Decision Tree,Original
monthly_mean_5,0.014340447681350576,Decision Tree,Original
monthly_std_5,0.03306006416141541,Decision Tree,Original
monthly_mean_6,0.028165166054518038,Decision Tree,Original
monthly_std_6,0.026775657905592117,Decision Tree,Original
monthly_mean_7,0.010706981506338586,Decision Tree,Original
monthly_std_7,0.030289079658457504,Decision Tree,Original
monthly_mean_8,0.01585961874649366,Decision Tree,Original
monthly_std_8,0.028775113539365627,Decision Tree,Original
monthly_mean_9,0.015939709515736734,Decision Tree,Original
monthly_std_9,0.03216681537576006,Decision Tree,Original
monthly_mean_10,0.025746345949150897,Decision Tree,Original
monthly_std_10,0.036103951412509945,Decision Tree,Original
monthly_mean_11,0.015593226256787388,Decision Tree,Original
monthly_std_11,0.024290756125682402,Decision Tree,Original
monthly_mean_12,0.011098340463262257,Decision Tree,Original
monthly_std_12,0.028765366676477146,Decision Tree,Original
peak_to_average_ratio,0.02862188352151684,Decision Tree,Original
missing_count,0.023993462912934187,Random Forest,Original
missing_ratio,0.02421422774563315,Random Forest,Original
longest_missing_streak,0.020043630884939153,Random Forest,Original
missing_streak_count,0.019506186890052984,Random Forest,Original
max_missing_gap_days,0.019972976244153024,Random Forest,Original
mean,0.01985822019235254,Random Forest,Original
median,0.018384899279747527,Random Forest,Original
std_dev,0.0262200133427273,Random Forest,Original
variance,0.029213028182711324,Random Forest,Original
cv,0.023575357665774,Random Forest,Original
min,0.013050454550935356,Random Forest,Original
max,0.024081283776849954,Random Forest,Original
range,0.023309257981820576,Random Forest,Original
zero_count,0.014914282868695655,Random Forest,Original
zero_ratio,0.015053156270055464,Random Forest,Original
mean_abs_daily_change,0.027679122724720173,Random Forest,Original
max_abs_daily_change,0.024476378082455518,Random Forest,Original
monthly_mean_1,0.021698537121515864,Random Forest,Original
monthly_std_1,0.030360194788259555,Random Forest,Original
monthly_mean_2,0.02249699416063841,Random Forest,Original
monthly_std_2,0.025646445240199576,Random Forest,Original
monthly_mean_3,0.021660337843176034,Random Forest,Original
monthly_std_3,0.03867528887405209,Random Forest,Original
monthly_mean_4,0.021299015840717347,Random Forest,Original
monthly_std_4,0.044120368294044955,Random Forest,Original
monthly_mean_5,0.0204286502249415,Random Forest,Original
monthly_std_5,0.03644411286862093,Random Forest,Original
monthly_mean_6,0.022462534535417092,Random Forest,Original
monthly_std_6,0.02684444507154466,Random Forest,Original
monthly_mean_7,0.020540973763138175,Random Forest,Original
monthly_std_7,0.026937608596829126,Random Forest,Original
monthly_mean_8,0.021304412667080913,Random Forest,Original
monthly_std_8,0.027029625174431637,Random Forest,Original
monthly_mean_9,0.022044460311934147,Random Forest,Original
monthly_std_9,0.024640381240319007,Random Forest,Original
monthly_mean_10,0.025605217023043175,Random Forest,Original
monthly_std_10,0.034852898525852626,Random Forest,Original
monthly_mean_11,0.016086632747694906,Random Forest,Original
monthly_std_11,0.02223093726413066,Random Forest,Original
monthly_mean_12,0.015729050946988506,Random Forest,Original
monthly_std_12,0.020562251935861097,Random Forest,Original
peak_to_average_ratio,0.02275268534301008,Random Forest,Original
missing_count,0.03141741827130318,XGBoost,Original
missing_ratio,0.0,XGBoost,Original
longest_missing_streak,0.04324529692530632,XGBoost,Original
missing_streak_count,0.042445484548807144,XGBoost,Original
max_missing_gap_days,0.0,XGBoost,Original
mean,0.025159521028399467,XGBoost,Original
median,0.022241268306970596,XGBoost,Original
std_dev,0.02768963947892189,XGBoost,Original
variance,0.0,XGBoost,Original
cv,0.02386733703315258,XGBoost,Original
min,0.019608555361628532,XGBoost,Original
max,0.02272770181298256,XGBoost,Original
range,0.022584496065974236,XGBoost,Original
zero_count,0.01691499724984169,XGBoost,Original
zero_ratio,0.015071142464876175,XGBoost,Original
mean_abs_daily_change,0.02550973743200302,XGBoost,Original
max_abs_daily_change,0.0191511157900095,XGBoost,Original
monthly_mean_1,0.016706936061382294,XGBoost,Original
monthly_std_1,0.01803424023091793,XGBoost,Original
monthly_mean_2,0.019330764189362526,XGBoost,Original
monthly_std_2,0.015610548667609692,XGBoost,Original
monthly_mean_3,0.018665971234440804,XGBoost,Original
monthly_std_3,0.04445265978574753,XGBoost,Original
monthly_mean_4,0.020313939079642296,XGBoost,Original
monthly_std_4,0.09192001074552536,XGBoost,Original
monthly_mean_5,0.017751723527908325,XGBoost,Original
monthly_std_5,0.03992681950330734,XGBoost,Original
monthly_mean_6,0.022850224748253822,XGBoost,Original
monthly_std_6,0.022794511169195175,XGBoost,Original
monthly_mean_7,0.022569257766008377,XGBoost,Original
monthly_std_7,0.020621638745069504,XGBoost,Original
monthly_mean_8,0.021226389333605766,XGBoost,Original
monthly_std_8,0.01874646544456482,XGBoost,Original
monthly_mean_9,0.019374020397663116,XGBoost,Original
monthly_std_9,0.018691755831241608,XGBoost,Original
monthly_mean_10,0.024069994688034058,XGBoost,Original
monthly_std_10,0.03374914824962616,XGBoost,Original
monthly_mean_11,0.02340572141110897,XGBoost,Original
monthly_std_11,0.02635292336344719,XGBoost,Original
