Evasion_Type,Alpha_Factor,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Flip_Rate,Prob_Shift,Affected_Samples
Constant Scaling,0.9,42-Feature,0.8867033831628639,0.37774725274725274,0.507380073800738,0.4330708661417323,0.8186444938593547,0.39846001085322397,0.00944138473642801,0.0062639522,60
Constant Scaling,0.9,18-Feature,0.8676632572777341,0.3310734463276836,0.540590405904059,0.41065171688857743,0.8179562223112339,0.3813434076854367,0.00896931549960661,0.0060093524,57
Intermittent Suppression (30% days),0.9,42-Feature,0.8876475216365067,0.38283378746594005,0.518450184501845,0.44043887147335425,0.8282733128380657,0.41458322503634154,0.005035405192761605,0.0033767056,32
Intermittent Suppression (30% days),0.9,18-Feature,0.8675059008654603,0.33031674208144796,0.5387453874538746,0.40953716690042075,0.8228415696336561,0.3955582119482252,0.005979543666404406,0.0035289521,38
"Randomized Scaling (U(0.1, alpha))",0.9,42-Feature,0.8704956726986625,0.2752,0.3173431734317343,0.29477292202227934,0.7592046202588295,0.23581181962919562,0.024075531077891423,0.017830811,153
"Randomized Scaling (U(0.1, alpha))",0.9,18-Feature,0.8508261211644375,0.2390745501285347,0.34317343173431736,0.2818181818181818,0.7479940621701073,0.22223631043243627,0.025491738788355627,0.017690938,162
Constant Scaling,0.7,42-Feature,0.8797797010228167,0.33771929824561403,0.4261992619926199,0.3768352365415987,0.7943336065048248,0.3439347548582473,0.01793863099921322,0.012188509,114
Constant Scaling,0.7,18-Feature,0.8604248623131393,0.2943980929678188,0.45571955719557194,0.3577118030412744,0.7906389673736751,0.3267092747105314,0.015263571990558616,0.011390919,97
Intermittent Suppression (30% days),0.7,42-Feature,0.8835562549173879,0.3601694915254237,0.470479704797048,0.408,0.8153562793154167,0.359733123482646,0.01038552321007081,0.008175746,66
Intermittent Suppression (30% days),0.7,18-Feature,0.864516129032258,0.315606936416185,0.503690036900369,0.3880597014925373,0.8018014400856205,0.3341936057366872,0.011487018095987412,0.008226651,73
"Randomized Scaling (U(0.1, alpha))",0.7,42-Feature,0.8656176239181747,0.23737373737373738,0.26014760147601473,0.2482394366197183,0.7142382863704777,0.19418712060905077,0.02989771833202203,0.021028249,190
"Randomized Scaling (U(0.1, alpha))",0.7,18-Feature,0.845633359559402,0.20536912751677852,0.2822878228782288,0.23776223776223776,0.7149314775446051,0.18531232765013333,0.028481510621557828,0.020236084,181
Constant Scaling,0.5,42-Feature,0.8703383162863887,0.27403846153846156,0.3154981549815498,0.2933104631217839,0.7364918178684626,0.2557901250547881,0.023288749016522423,0.016359828,148
Constant Scaling,0.5,18-Feature,0.8538158929976396,0.2572145545796738,0.37822878228782286,0.3061986557132188,0.7433715180950192,0.2529212346279529,0.02061369000786782,0.015732951,131
Intermittent Suppression (30% days),0.5,42-Feature,0.8815106215578284,0.34820143884892085,0.44649446494464945,0.39126919967663704,0.8050025296399531,0.31791136104707773,0.014319433516915815,0.011650464,91
