Feature,Importance,Model,Strategy
mean,0.0,Decision Tree,Original
median,0.0,Decision Tree,Original
trimmed_mean,0.0,Decision Tree,Original
std_dev,0.0,Decision Tree,Original
variance,0.0,Decision Tree,Original
cv,0.0,Decision Tree,Original
iqr,0.0,Decision Tree,Original
mad,0.0,Decision Tree,Original
min,0.0,Decision Tree,Original
max,0.0,Decision Tree,Original
range,0.0,Decision Tree,Original
percentile_5,1.0,Decision Tree,Original
percentile_95,0.0,Decision Tree,Original
zero_count,0.0,Decision Tree,Original
zero_ratio,0.0,Decision Tree,Original
longest_zero_streak,0.0,Decision Tree,Original
zero_streak_count,0.0,Decision Tree,Original
mean_abs_daily_change,0.0,Decision Tree,Original
std_abs_daily_change,0.0,Decision Tree,Original
max_abs_daily_change,0.0,Decision Tree,Original
unusually_large_changes_count,0.0,Decision Tree,Original
linear_trend_slope,0.0,Decision Tree,Original
trend_r2,0.0,Decision Tree,Original
early_vs_late_change,0.0,Decision Tree,Original
relative_trend,0.0,Decision Tree,Original
monthly_mean_1,0.0,Decision Tree,Original
monthly_std_1,0.0,Decision Tree,Original
monthly_mean_2,0.0,Decision Tree,Original
monthly_std_2,0.0,Decision Tree,Original
monthly_mean_3,0.0,Decision Tree,Original
monthly_std_3,0.0,Decision Tree,Original
monthly_mean_4,0.0,Decision Tree,Original
monthly_std_4,0.0,Decision Tree,Original
monthly_mean_5,0.0,Decision Tree,Original
monthly_std_5,0.0,Decision Tree,Original
monthly_mean_6,0.0,Decision Tree,Original
monthly_std_6,0.0,Decision Tree,Original
monthly_mean_7,0.0,Decision Tree,Original
monthly_std_7,0.0,Decision Tree,Original
monthly_mean_8,0.0,Decision Tree,Original
monthly_std_8,0.0,Decision Tree,Original
monthly_mean_9,0.0,Decision Tree,Original
monthly_std_9,0.0,Decision Tree,Original
monthly_mean_10,0.0,Decision Tree,Original
monthly_std_10,0.0,Decision Tree,Original
monthly_mean_11,0.0,Decision Tree,Original
monthly_std_11,0.0,Decision Tree,Original
monthly_mean_12,0.0,Decision Tree,Original
monthly_std_12,0.0,Decision Tree,Original
seasonal_variation,0.0,Decision Tree,Original
temporal_consistency,0.0,Decision Tree,Original
peak_to_average_ratio,0.0,Decision Tree,Original
high_consumption_day_count,0.0,Decision Tree,Original
high_consumption_day_ratio,0.0,Decision Tree,Original
peak_frequency,0.0,Decision Tree,Original
mean,0.00010571932476694627,Random Forest,Original
median,0.0036238238085967455,Random Forest,Original
trimmed_mean,0.0006911632248606258,Random Forest,Original
std_dev,0.050385371306392986,Random Forest,Original
variance,0.09801971105896025,Random Forest,Original
cv,0.11082901570368212,Random Forest,Original
iqr,0.023573589542057703,Random Forest,Original
mad,0.04873980223160432,Random Forest,Original
min,0.11158966691250011,Random Forest,Original
max,0.0,Random Forest,Original
range,0.0,Random Forest,Original
percentile_5,0.08214405089574967,Random Forest,Original
percentile_95,0.0,Random Forest,Original
zero_count,0.0006213496046877799,Random Forest,Original
zero_ratio,0.0,Random Forest,Original
longest_zero_streak,0.0002445327519852739,Random Forest,Original
zero_streak_count,0.0,Random Forest,Original
mean_abs_daily_change,0.005069087920738747,Random Forest,Original
std_abs_daily_change,0.0,Random Forest,Original
max_abs_daily_change,0.013548101286059702,Random Forest,Original
unusually_large_changes_count,0.0,Random Forest,Original
linear_trend_slope,0.00012264845841760956,Random Forest,Original
trend_r2,0.005712392034512078,Random Forest,Original
early_vs_late_change,0.002617442902768994,Random Forest,Original
relative_trend,0.00012391324891324791,Random Forest,Original
monthly_mean_1,0.00028984305923960874,Random Forest,Original
monthly_std_1,0.012650693081871667,Random Forest,Original
monthly_mean_2,0.0,Random Forest,Original
monthly_std_2,0.07516832641546131,Random Forest,Original
monthly_mean_3,0.00022617492852048903,Random Forest,Original
monthly_std_3,0.009764518373852334,Random Forest,Original
monthly_mean_4,0.0006180341312408232,Random Forest,Original
monthly_std_4,0.019267375108248445,Random Forest,Original
monthly_mean_5,0.0,Random Forest,Original
monthly_std_5,0.057351600655473865,Random Forest,Original
monthly_mean_6,0.00011042105263157857,Random Forest,Original
monthly_std_6,0.04639968673611042,Random Forest,Original
monthly_mean_7,0.00011240122744702891,Random Forest,Original
monthly_std_7,0.009065286423240969,Random Forest,Original
monthly_mean_8,0.002508441562032242,Random Forest,Original
monthly_std_8,0.008893978444236178,Random Forest,Original
monthly_mean_9,0.0003397192858859147,Random Forest,Original
monthly_std_9,0.008189061880414735,Random Forest,Original
monthly_mean_10,0.0004925825021403692,Random Forest,Original
monthly_std_10,0.00022260419319242758,Random Forest,Original
monthly_mean_11,0.0013415031819114878,Random Forest,Original
monthly_std_11,0.0072201437724502115,Random Forest,Original
monthly_mean_12,0.0,Random Forest,Original
monthly_std_12,0.0,Random Forest,Original
seasonal_variation,0.0,Random Forest,Original
temporal_consistency,0.0,Random Forest,Original
peak_to_average_ratio,0.16943688200585133,Random Forest,Original
high_consumption_day_count,0.0,Random Forest,Original
high_consumption_day_ratio,0.012289598968203825,Random Forest,Original
peak_frequency,0.0002797407930878131,Random Forest,Original
mean,0.0,XGBoost,Original
median,0.0,XGBoost,Original
trimmed_mean,0.0,XGBoost,Original
std_dev,0.018982743844389915,XGBoost,Original
variance,0.0,XGBoost,Original
cv,0.831108808517456,XGBoost,Original
iqr,0.0,XGBoost,Original
mad,0.0,XGBoost,Original
min,0.04429880529642105,XGBoost,Original
max,0.0,XGBoost,Original
range,0.0,XGBoost,Original
percentile_5,0.0,XGBoost,Original
percentile_95,0.0,XGBoost,Original
zero_count,0.0,XGBoost,Original
zero_ratio,0.0,XGBoost,Original
longest_zero_streak,0.0,XGBoost,Original
zero_streak_count,0.0,XGBoost,Original
mean_abs_daily_change,0.0,XGBoost,Original
std_abs_daily_change,0.0,XGBoost,Original
max_abs_daily_change,0.0,XGBoost,Original
unusually_large_changes_count,0.0,XGBoost,Original
linear_trend_slope,0.0,XGBoost,Original
trend_r2,0.0,XGBoost,Original
early_vs_late_change,0.0,XGBoost,Original
relative_trend,0.0,XGBoost,Original
monthly_mean_1,0.0,XGBoost,Original
monthly_std_1,0.0,XGBoost,Original
monthly_mean_2,0.0,XGBoost,Original
monthly_std_2,0.0,XGBoost,Original
monthly_mean_3,0.0,XGBoost,Original
monthly_std_3,0.0,XGBoost,Original
monthly_mean_4,0.0,XGBoost,Original
monthly_std_4,0.0,XGBoost,Original
monthly_mean_5,0.0,XGBoost,Original
monthly_std_5,0.0,XGBoost,Original
monthly_mean_6,0.0,XGBoost,Original
monthly_std_6,0.0,XGBoost,Original
monthly_mean_7,0.0,XGBoost,Original
monthly_std_7,0.0,XGBoost,Original
monthly_mean_8,0.0,XGBoost,Original
monthly_std_8,0.0,XGBoost,Original
monthly_mean_9,0.0,XGBoost,Original
monthly_std_9,0.0,XGBoost,Original
monthly_mean_10,0.0,XGBoost,Original
monthly_std_10,0.0,XGBoost,Original
monthly_mean_11,0.0,XGBoost,Original
monthly_std_11,0.0,XGBoost,Original
monthly_mean_12,0.0,XGBoost,Original
monthly_std_12,0.0,XGBoost,Original
seasonal_variation,0.0,XGBoost,Original
temporal_consistency,0.0,XGBoost,Original
peak_to_average_ratio,0.10560963302850723,XGBoost,Original
high_consumption_day_count,0.0,XGBoost,Original
high_consumption_day_ratio,0.0,XGBoost,Original
peak_frequency,0.0,XGBoost,Original
mean,0.0,Decision Tree (Weighted),Original
median,0.0,Decision Tree (Weighted),Original
trimmed_mean,0.0,Decision Tree (Weighted),Original
std_dev,0.0,Decision Tree (Weighted),Original
variance,0.0,Decision Tree (Weighted),Original
cv,0.0,Decision Tree (Weighted),Original
iqr,0.0,Decision Tree (Weighted),Original
mad,0.0,Decision Tree (Weighted),Original
min,0.0,Decision Tree (Weighted),Original
max,0.0,Decision Tree (Weighted),Original
range,0.0,Decision Tree (Weighted),Original
percentile_5,0.9999999999999079,Decision Tree (Weighted),Original
percentile_95,0.0,Decision Tree (Weighted),Original
zero_count,0.0,Decision Tree (Weighted),Original
zero_ratio,0.0,Decision Tree (Weighted),Original
longest_zero_streak,0.0,Decision Tree (Weighted),Original
zero_streak_count,0.0,Decision Tree (Weighted),Original
mean_abs_daily_change,0.0,Decision Tree (Weighted),Original
std_abs_daily_change,0.0,Decision Tree (Weighted),Original
max_abs_daily_change,0.0,Decision Tree (Weighted),Original
unusually_large_changes_count,0.0,Decision Tree (Weighted),Original
linear_trend_slope,0.0,Decision Tree (Weighted),Original
trend_r2,0.0,Decision Tree (Weighted),Original
early_vs_late_change,0.0,Decision Tree (Weighted),Original
relative_trend,0.0,Decision Tree (Weighted),Original
monthly_mean_1,0.0,Decision Tree (Weighted),Original
monthly_std_1,9.22595333463437e-14,Decision Tree (Weighted),Original
monthly_mean_2,0.0,Decision Tree (Weighted),Original
monthly_std_2,0.0,Decision Tree (Weighted),Original
monthly_mean_3,0.0,Decision Tree (Weighted),Original
monthly_std_3,0.0,Decision Tree (Weighted),Original
monthly_mean_4,0.0,Decision Tree (Weighted),Original
monthly_std_4,0.0,Decision Tree (Weighted),Original
monthly_mean_5,0.0,Decision Tree (Weighted),Original
monthly_std_5,0.0,Decision Tree (Weighted),Original
monthly_mean_6,0.0,Decision Tree (Weighted),Original
monthly_std_6,0.0,Decision Tree (Weighted),Original
monthly_mean_7,0.0,Decision Tree (Weighted),Original
monthly_std_7,0.0,Decision Tree (Weighted),Original
monthly_mean_8,0.0,Decision Tree (Weighted),Original
monthly_std_8,0.0,Decision Tree (Weighted),Original
monthly_mean_9,0.0,Decision Tree (Weighted),Original
monthly_std_9,0.0,Decision Tree (Weighted),Original
monthly_mean_10,0.0,Decision Tree (Weighted),Original
