Loss_Type,Severity,Severity_Pct,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Flip_Rate,Prob_Shift,Affected_Samples
Random Isolated,0.0,0%,42-Feature,0.8898505114083399,0.39438502673796794,0.544280442804428,0.4573643410852713,0.8334366983786816,0.4227839154817324,0.0,0.0,0
Random Isolated,0.0,0%,18-Feature,0.8690794649881982,0.3378076062639821,0.5571955719557196,0.4206128133704735,0.8303708191907311,0.4126424814980038,0.0,0.0,0
Short Bursts (3-7d),0.0,0%,42-Feature,0.8898505114083399,0.39438502673796794,0.544280442804428,0.4573643410852713,0.8334366983786816,0.4227839154817324,0.0,0.0,0
Short Bursts (3-7d),0.0,0%,18-Feature,0.8690794649881982,0.3378076062639821,0.5571955719557196,0.4206128133704735,0.8303708191907311,0.4126424814980038,0.0,0.0,0
Long Bursts (14-30d),0.0,0%,42-Feature,0.8898505114083399,0.39438502673796794,0.544280442804428,0.4573643410852713,0.8334366983786816,0.4227839154817324,0.0,0.0,0
Long Bursts (14-30d),0.0,0%,18-Feature,0.8690794649881982,0.3378076062639821,0.5571955719557196,0.4206128133704735,0.8303708191907311,0.4126424814980038,0.0,0.0,0
Random Isolated,0.05,5%,42-Feature,0.9051140833988985,0.42857142857142855,0.3376383763837638,0.37770897832817335,0.7838092568952526,0.3497710215841588,0.06404405979543666,0.08404083,407
Random Isolated,0.05,5%,18-Feature,0.8999213217938631,0.39914163090128757,0.34317343173431736,0.36904761904761907,0.7669608074026724,0.3320246585880512,0.08528717545239968,0.10310809,542
Short Bursts (3-7d),0.05,5%,42-Feature,0.8928402832415421,0.3803786574870912,0.4077490774907749,0.3935886019590383,0.79985453776781,0.37044959710278824,0.06624704956726987,0.07993123,421
Short Bursts (3-7d),0.05,5%,18-Feature,0.8851298190401259,0.35358255451713394,0.4188191881918819,0.38344594594594594,0.7894025542698226,0.35677358522377844,0.08434303697875689,0.091496125,536
Long Bursts (14-30d),0.05,5%,42-Feature,0.8580645161290322,0.3136645962732919,0.559040590405904,0.40185676392572944,0.8068491350662689,0.38050453596045025,0.07206923682140047,0.07515593,458
Long Bursts (14-30d),0.05,5%,18-Feature,0.8308418568056648,0.2728047740835465,0.5904059040590406,0.37317784256559766,0.8043140993942195,0.3714964824679829,0.08418568056648308,0.08158656,535
Random Isolated,0.1,10%,42-Feature,0.8991345397324941,0.39751552795031053,0.35424354243542433,0.3746341463414634,0.7829605420602631,0.34841189407304024,0.06467348544453186,0.0848363,411
Random Isolated,0.1,10%,18-Feature,0.8926829268292683,0.36891385767790263,0.3634686346863469,0.36617100371747213,0.7610632867037427,0.3300318249917204,0.08874901652242329,0.105924375,564
Short Bursts (3-7d),0.1,10%,42-Feature,0.9013375295043273,0.41414141414141414,0.37822878228782286,0.39537126325940214,0.7914196009326341,0.36508205528255755,0.06970889063729346,0.08852032,443
Short Bursts (3-7d),0.1,10%,18-Feature,0.8961447678992919,0.382,0.35239852398523985,0.3666026871401152,0.7818864766146372,0.3472503488803677,0.0915814319433517,0.10241384,582
Long Bursts (14-30d),0.1,10%,42-Feature,0.8525570416994492,0.2978505629477994,0.5369003690036901,0.38314680710994076,0.8003342806522853,0.36466653330736176,0.08450039339103069,0.08769487,537
Long Bursts (14-30d),0.1,10%,18-Feature,0.8210857592446892,0.2602739726027397,0.5959409594095941,0.36231071228266964,0.7915636983653511,0.3387722077872818,0.11030684500393391,0.10306917,701
Random Isolated,0.2,20%,42-Feature,0.877104642014162,0.3285509325681492,0.4225092250922509,0.3696529459241324,0.7792005195125064,0.34275096059078963,0.07883556254917388,0.09807402,501
Random Isolated,0.2,20%,18-Feature,0.8610542879622345,0.28819875776397513,0.4280442804428044,0.34446919079435784,0.7635492848133367,0.317193851046084,0.10653029110936271,0.11667155,677
Short Bursts (3-7d),0.2,20%,42-Feature,0.889693154996066,0.35879218472468916,0.3726937269372694,0.36561085972850677,0.7764620335004313,0.3410828392138293,0.07789142407553108,0.09950747,495
Short Bursts (3-7d),0.2,20%,18-Feature,0.8854445318646735,0.34448160535117056,0.3800738007380074,0.36140350877192984,0.7555528294832234,0.32103187232470787,0.0981904012588513,0.11477769,624
Long Bursts (14-30d),0.2,20%,42-Feature,0.8523996852871755,0.29157894736842105,0.511070110701107,0.37131367292225204,0.779179730125187,0.3457324306334029,0.0991345397324941,0.10879156,630
Long Bursts (14-30d),0.2,20%,18-Feature,0.8248623131392604,0.24622222222222223,0.511070110701107,0.3323335332933413,0.7680059898827097,0.32173390419749076,0.12824547600314712,0.120599866,815
Random Isolated,0.3,30%,42-Feature,0.8618410700236034,0.2946210268948655,0.4446494464944649,0.35441176470588237,0.7728726108867832,0.3269793529498898,0.09284028324154209,0.110172704,590
Random Isolated,0.3,30%,18-Feature,0.8344610542879622,0.24550898203592814,0.45387453874538747,0.31865284974093266,0.75681637987892,0.30260335421524875,0.13029110936270652,0.13166031,828
Short Bursts (3-7d),0.3,30%,42-Feature,0.8653029110936271,0.3012658227848101,0.43911439114391143,0.35735735735735735,0.7639880837136257,0.31143763499358573,0.0959874114870181,0.11367913,610
Short Bursts (3-7d),0.3,30%,18-Feature,0.8473642800944139,0.2673913043478261,0.45387453874538747,0.33652530779753764,0.7480443693134678,0.29942387123489544,0.12651455546813534,0.13360783,804
Long Bursts (14-30d),0.3,30%,42-Feature,0.845633359559402,0.2720664589823468,0.4833948339483395,0.3481727574750831,0.7800341580742488,0.31908732522526534,0.11156569630212432,0.12078924,709
