Noise_Type,Severity,Severity_Pct,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Flip_Rate,Prob_Shift,Affected_Samples
Additive Gaussian,0.0,0%,42-Feature,0.8898505114083399,0.39438502673796794,0.544280442804428,0.4573643410852713,0.8334366983786816,0.4227839154817324,0.0,0.0,0
Additive Gaussian,0.0,0%,18-Feature,0.8690794649881982,0.3378076062639821,0.5571955719557196,0.4206128133704735,0.8303708191907311,0.4126424814980038,0.0,0.0,0
Multiplicative Gaussian,0.0,0%,42-Feature,0.8898505114083399,0.39438502673796794,0.544280442804428,0.4573643410852713,0.8334366983786816,0.4227839154817324,0.0,0.0,0
Multiplicative Gaussian,0.0,0%,18-Feature,0.8690794649881982,0.3378076062639821,0.5571955719557196,0.4206128133704735,0.8303708191907311,0.4126424814980038,0.0,0.0,0
Additive Gaussian,0.01,1%,42-Feature,0.8906372934697089,0.39731543624161075,0.5461254612546126,0.45998445998445997,0.8339221543772293,0.4229018392832587,0.014004720692368215,0.017860768,89
Additive Gaussian,0.01,1%,18-Feature,0.870023603461841,0.33826879271070615,0.5479704797047971,0.4183098591549296,0.8291599564025917,0.41287299445975045,0.005664830841856806,0.0070094685,36
Multiplicative Gaussian,0.01,1%,42-Feature,0.8892210857592446,0.3914209115281501,0.5387453874538746,0.453416149068323,0.8338766081622626,0.4241912119012805,0.008182533438237608,0.008026473,52
Multiplicative Gaussian,0.01,1%,18-Feature,0.8704956726986625,0.34231200897867564,0.5627306273062731,0.42568039078855546,0.8293538848858297,0.41226061240080897,0.00865460267505901,0.009286866,55
Additive Gaussian,0.03,3%,42-Feature,0.8876475216365067,0.38563829787234044,0.5350553505535055,0.4482225656877898,0.833355445200762,0.4212294445159317,0.02014162077104642,0.02345416,128
Additive Gaussian,0.03,3%,18-Feature,0.8723839496459481,0.3462857142857143,0.559040590405904,0.42766407904022585,0.8299134526697064,0.41381891585990715,0.014319433516915815,0.014801806,91
Multiplicative Gaussian,0.03,3%,42-Feature,0.8890637293469709,0.39176626826029215,0.544280442804428,0.4555984555984556,0.8353918529723745,0.4275485428142621,0.016837136113296618,0.016496511,107
Multiplicative Gaussian,0.03,3%,18-Feature,0.8687647521636507,0.3355855855855856,0.5498154981549815,0.4167832167832168,0.8304260459600983,0.416834075740472,0.021085759244689223,0.019737057,134
Additive Gaussian,0.05,5%,42-Feature,0.8879622344610543,0.38636363636363635,0.533210332103321,0.448062015503876,0.8350898514145987,0.4204053936675809,0.023603461841070025,0.027637623,150
Additive Gaussian,0.05,5%,18-Feature,0.8697088906372935,0.33860045146726864,0.5535055350553506,0.42016806722689076,0.8291701130498317,0.4103362892051274,0.020456333595594022,0.020773776,130
Multiplicative Gaussian,0.05,5%,42-Feature,0.8871754523996853,0.3841059602649007,0.5350553505535055,0.4471858134155744,0.8327698510083329,0.4203401495572125,0.021872541306058223,0.023458812,139
Multiplicative Gaussian,0.05,5%,18-Feature,0.870023603461841,0.3400900900900901,0.5571955719557196,0.4223776223776224,0.8268137708901604,0.4055916926449323,0.02832415420928403,0.027745305,180
Additive Gaussian,0.1,10%,42-Feature,0.8859166011014948,0.3758480325644505,0.511070110701107,0.4331508991399531,0.8333344971158296,0.40721436531897737,0.033202202989771834,0.037285123,211
Additive Gaussian,0.1,10%,18-Feature,0.8689221085759244,0.33409350057012543,0.540590405904059,0.41296687808315713,0.8283296504907248,0.40149270264556836,0.03540519276160504,0.034088638,225
Multiplicative Gaussian,0.1,10%,42-Feature,0.8856018882769473,0.37683089214380827,0.522140221402214,0.4377416860015468,0.8344774373255517,0.4077468188373762,0.037293469708890636,0.039734572,237
Multiplicative Gaussian,0.1,10%,18-Feature,0.8698662470495673,0.3352601156069364,0.5350553505535055,0.41222459132906897,0.8273066856765247,0.40240475545638654,0.046420141620771044,0.046461497,295
Additive Gaussian,0.2,20%,42-Feature,0.8833988985051141,0.3623789764868603,0.4833948339483395,0.4142292490118577,0.8270762567422679,0.37845605278032773,0.051770259638080254,0.054966077,329
Additive Gaussian,0.2,20%,18-Feature,0.873957513768686,0.3403205918618989,0.5092250922509225,0.4079822616407982,0.8211495356825236,0.37759954498092857,0.05963808025177026,0.055929903,379
Multiplicative Gaussian,0.2,20%,42-Feature,0.8837136113296616,0.3712418300653595,0.5239852398523985,0.4345830145371079,0.8234949277068894,0.38116213356765205,0.06058221872541306,0.065839946,385
Multiplicative Gaussian,0.2,20%,18-Feature,0.8736428009441385,0.3425814234016888,0.5239852398523985,0.41429613420860684,0.8220261812974229,0.3750070092098678,0.07348544453186467,0.073982805,467
