Strategy,Model,Train_Time(s),Val_Predict_Time(s),Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Val_PR_AUC,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC
Original,Logistic Regression,0.03609871864318848,0.012036800384521484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,Decision Tree,0.014149904251098633,0.0045087337493896484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,Random Forest,0.25173401832580566,0.017642736434936523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,XGBoost,0.2815432548522949,0.01528024673461914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,Logistic Regression (Weighted),0.024290800094604492,0.005229473114013672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,Decision Tree (Weighted),0.013052940368652344,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,Random Forest (Weighted),0.2384645938873291,0.01591038703918457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Original,XGBoost (Weighted),0.24277472496032715,0.012455940246582031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMOTE,Logistic Regression,0.02056741714477539,0.0010211467742919922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMOTE,Decision Tree,0.020578384399414062,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMOTE,Random Forest,0.2959153652191162,0.016905784606933594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMOTE,XGBoost,0.1593034267425537,0.015824556350708008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
